gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,internal math marks,internal reading marks,internal writing marks
female,group B,bachelor's degree,standard,none,69,51,56,21,15,17
female,group C,some college,standard,completed,48,68,78,14,20,23
female,group B,master's degree,standard,none,38,65,93,11,20,28
male,group A,associate's degree,free/reduced,none,47,68,54,14,20,16
male,group C,some college,standard,none,92,65,70,28,20,21
female,group B,associate's degree,standard,none,40,50,67,12,15,20
female,group B,some college,standard,completed,74,67,69,22,20,21
male,group B,some college,free/reduced,none,60,55,88,18,16,26
male,group D,high school,free/reduced,completed,53,80,78,16,24,23
female,group B,high school,free/reduced,none,88,48,84,26,14,25
male,group C,associate's degree,standard,none,53,42,77,16,13,23
male,group D,associate's degree,standard,none,72,72,74,22,22,22
female,group B,high school,standard,none,77,51,72,23,15,22
male,group A,some college,standard,completed,58,63,76,17,19,23
female,group A,master's degree,standard,none,45,84,87,14,25,26
female,group C,some high school,standard,none,72,63,76,22,19,23
male,group C,high school,standard,none,75,65,81,22,20,24
female,group B,some high school,free/reduced,none,60,65,66,18,20,20
male,group C,master's degree,free/reduced,completed,63,87,78,19,26,23
female,group C,associate's degree,free/reduced,none,75,51,64,22,15,19
male,group D,high school,standard,none,54,73,84,16,22,25
female,group B,some college,free/reduced,completed,59,77,75,18,23,22
male,group D,some college,standard,none,45,73,83,14,22,25
female,group C,some high school,standard,none,77,96,65,23,29,20
male,group D,bachelor's degree,free/reduced,completed,94,88,56,28,26,17
male,group A,master's degree,free/reduced,none,97,52,92,29,16,28
male,group B,some college,standard,none,73,94,41,22,28,12
female,group C,bachelor's degree,standard,none,46,71,87,14,21,26
male,group C,high school,standard,none,66,57,63,20,17,19
female,group D,master's degree,standard,none,57,59,60,17,18,18
female,group D,some college,standard,none,59,54,67,18,16,20
female,group B,some college,standard,none,66,69,74,20,21,22
female,group E,master's degree,free/reduced,none,71,67,41,21,20,12
male,group D,some college,standard,none,72,68,59,22,20,18
male,group E,some college,standard,none,55,68,82,16,20,25
male,group E,associate's degree,standard,completed,53,57,78,16,17,23
female,group D,associate's degree,standard,none,100,59,57,30,18,17
female,group D,some high school,free/reduced,none,85,71,83,26,21,25
female,group D,associate's degree,free/reduced,completed,39,82,66,12,25,20
male,group B,associate's degree,free/reduced,none,79,90,79,24,27,24
male,group C,associate's degree,free/reduced,none,73,64,48,22,19,14
female,group C,associate's degree,standard,none,71,93,68,21,28,20
female,group B,associate's degree,standard,none,50,68,73,15,20,22
male,group B,some college,free/reduced,completed,46,41,41,14,12,12
female,group E,associate's degree,free/reduced,none,51,83,56,15,25,17
male,group B,associate's degree,standard,none,66,42,67,20,13,20
female,group A,associate's degree,standard,completed,55,62,70,16,19,21
female,group C,high school,standard,none,75,71,57,22,21,17
female,group D,associate's degree,free/reduced,completed,40,61,64,12,18,19
male,group C,high school,standard,completed,77,67,100,23,20,30
male,group E,some college,standard,none,76,74,98,23,22,29
male,group E,associate's degree,free/reduced,completed,83,98,83,25,29,25
male,group C,some college,standard,none,60,49,70,18,15,21
male,group D,high school,standard,none,97,64,75,29,19,22
female,group C,some high school,free/reduced,completed,58,65,82,17,20,25
female,group C,high school,free/reduced,none,39,81,74,12,24,22
female,group E,associate's degree,standard,completed,73,73,52,22,22,16
male,group D,associate's degree,standard,none,51,88,63,15,26,19
male,group D,some college,standard,completed,36,87,63,11,26,19
female,group C,some high school,free/reduced,none,73,38,60,22,11,18
male,group E,bachelor's degree,free/reduced,completed,80,75,72,24,22,22
male,group A,some high school,free/reduced,none,58,54,68,17,16,20
male,group A,associate's degree,free/reduced,none,52,72,21,16,22,6
female,group C,associate's degree,standard,none,62,80,88,19,24,26
female,group D,some high school,standard,none,85,73,69,26,22,21
male,group B,some high school,standard,none,89,65,59,27,20,18
male,group D,some high school,free/reduced,none,62,65,81,19,20,24
female,group C,some college,standard,none,63,43,71,19,13,21
male,group B,associate's degree,free/reduced,none,60,70,65,18,21,20
female,group C,associate's degree,standard,none,59,76,64,18,23,19
female,group D,some college,free/reduced,completed,66,93,62,20,28,19
male,group D,some college,standard,completed,57,53,66,17,16,20
female,group A,associate's degree,free/reduced,none,83,18,72,25,5,22
male,group C,some high school,free/reduced,none,71,55,73,21,16,22
male,group C,some high school,standard,none,81,92,59,24,28,18
male,group B,associate's degree,free/reduced,none,49,62,63,15,19,19
male,group E,some high school,standard,none,62,66,74,19,20,22
male,group A,bachelor's degree,standard,completed,74,71,56,22,21,17
female,group D,some high school,standard,completed,75,70,40,22,21,12
female,group E,master's degree,standard,none,60,54,64,18,16,19
female,group B,associate's degree,standard,none,50,100,68,15,30,20
male,group B,high school,free/reduced,none,68,74,67,20,22,20
male,group A,some college,free/reduced,completed,95,59,66,28,18,20
male,group E,associate's degree,standard,none,42,61,81,13,18,24
male,group D,high school,free/reduced,none,57,45,79,17,14,24
female,group C,some college,standard,none,63,68,61,19,20,18
female,group C,some college,free/reduced,none,63,61,59,19,18,18
female,group D,associate's degree,standard,none,69,59,67,21,18,20
female,group A,some college,standard,none,55,76,64,16,23,19
female,group D,some high school,standard,none,80,63,61,24,19,18
female,group C,bachelor's degree,standard,none,50,54,70,15,16,21
male,group C,high school,free/reduced,none,62,48,74,19,14,22
male,group C,high school,standard,none,73,78,54,22,23,16
male,group C,associate's degree,free/reduced,completed,64,67,72,19,20,22
female,group B,some college,standard,none,76,59,72,23,18,22
male,group C,associate's degree,free/reduced,completed,73,70,72,22,21,22
male,group B,some high school,standard,completed,80,88,65,24,26,20
female,group E,some college,standard,completed,34,68,63,10,20,19
female,group D,some college,free/reduced,none,88,62,61,26,19,18
female,group D,bachelor's degree,standard,none,66,62,74,20,19,22
male,group B,some college,standard,none,57,69,58,17,21,17
male,group D,bachelor's degree,standard,completed,29,65,79,9,20,24
female,group D,associate's degree,standard,none,64,86,81,19,26,24
male,group B,high school,standard,completed,56,35,87,17,10,26
male,group C,some college,standard,completed,92,90,64,28,27,19
female,group C,some college,standard,none,70,49,61,21,15,18
female,group D,master's degree,standard,none,53,82,58,16,25,17
male,group E,associate's degree,standard,completed,70,80,81,21,24,24
female,group B,associate's degree,free/reduced,none,73,84,88,22,25,26
female,group B,some high school,standard,none,72,75,46,22,22,14
female,group D,associate's degree,free/reduced,completed,70,51,81,21,15,24
male,group C,high school,standard,none,60,100,59,18,30,18
male,group A,associate's degree,standard,none,85,84,71,26,25,21
female,group D,some college,standard,none,80,85,47,24,26,14
female,group E,bachelor's degree,standard,completed,51,65,100,15,20,30
male,group C,high school,standard,none,50,89,84,15,27,25
female,group B,bachelor's degree,free/reduced,none,76,57,44,23,17,13
female,group D,bachelor's degree,standard,none,64,48,83,19,14,25
female,group D,some high school,standard,none,68,94,68,20,28,20
female,group C,some college,standard,none,92,77,69,28,23,21
female,group C,bachelor's degree,standard,completed,80,68,47,24,20,14
male,group B,associate's degree,standard,completed,85,55,40,26,16,12
female,group C,some college,standard,completed,64,72,71,19,22,21
male,group D,high school,free/reduced,none,56,76,55,17,23,16
male,group E,some college,standard,none,74,39,55,22,12,16
female,group B,high school,standard,none,49,90,69,15,27,21
male,group B,some high school,standard,none,59,62,75,18,19,22
male,group D,some college,standard,completed,81,69,96,24,21,29
male,group D,master's degree,standard,none,80,63,29,24,19,9
female,group A,bachelor's degree,standard,none,76,50,42,23,15,13
male,group D,master's degree,standard,none,66,85,65,20,26,20
male,group C,some high school,free/reduced,completed,58,100,56,17,30,17
male,group E,some college,free/reduced,completed,87,67,83,26,20,25
female,group C,some college,standard,completed,54,76,77,16,23,23
male,group D,bachelor's degree,free/reduced,completed,71,59,95,21,18,28
male,group C,bachelor's degree,standard,none,64,85,56,19,26,17
male,group B,some high school,standard,completed,57,85,63,17,26,19
male,group E,high school,standard,none,79,63,77,24,19,23
female,group C,associate's degree,standard,none,69,56,68,21,17,20
male,group D,some college,standard,completed,74,82,82,22,25,25
female,group D,some high school,standard,none,63,59,72,19,18,22
female,group C,some college,free/reduced,none,78,37,54,23,11,16
female,group E,some college,free/reduced,completed,70,75,91,21,22,27
male,group A,high school,standard,none,68,87,63,20,26,19
male,group D,some college,standard,none,64,86,65,19,26,20
female,group C,some college,free/reduced,none,64,90,85,19,27,26
male,group B,some high school,standard,none,67,62,79,20,19,24
male,group C,associate's degree,free/reduced,none,65,78,73,20,23,22
female,group D,bachelor's degree,standard,completed,77,84,70,23,25,21
male,group E,associate's degree,free/reduced,completed,54,58,61,16,17,18
male,group A,some high school,standard,completed,66,69,73,20,21,22
male,group A,bachelor's degree,standard,none,72,71,100,22,21,30
female,group B,associate's degree,standard,completed,65,75,52,20,22,16
male,group D,bachelor's degree,standard,none,41,68,70,12,20,21
male,group D,some high school,standard,none,69,80,47,21,24,14
female,group C,some college,standard,completed,73,73,38,22,22,11
female,group E,high school,free/reduced,completed,58,66,92,17,20,28
male,group B,some college,free/reduced,none,53,71,76,16,21,23
female,group B,associate's degree,standard,completed,61,65,94,18,20,28
male,group D,associate's degree,free/reduced,none,90,77,92,27,23,28
male,group B,associate's degree,free/reduced,completed,66,61,83,20,18,25
female,group E,some college,free/reduced,completed,69,49,67,21,15,20
male,group B,master's degree,free/reduced,none,55,65,64,16,20,19
male,group C,high school,standard,none,100,48,85,30,14,26
female,group E,master's degree,standard,none,50,69,96,15,21,29
female,group C,bachelor's degree,standard,completed,78,64,86,23,19,26
male,group C,high school,free/reduced,completed,29,74,43,9,22,13
female,group B,master's degree,free/reduced,completed,57,82,64,17,25,19
female,group B,high school,standard,completed,61,51,80,18,15,24
female,group C,some college,free/reduced,completed,69,59,64,21,18,19
male,group A,high school,standard,completed,66,71,63,20,21,19
male,group E,some high school,standard,none,95,82,73,28,25,22
female,group D,some college,standard,none,72,84,74,22,25,22
female,group C,associate's degree,standard,none,71,85,51,21,26,15
female,group C,bachelor's degree,free/reduced,completed,71,61,38,21,18,11
female,group C,master's degree,standard,completed,84,63,51,25,19,15
female,group B,high school,free/reduced,completed,43,70,85,13,21,26
female,group C,associate's degree,standard,completed,64,88,77,19,26,23
female,group B,master's degree,free/reduced,completed,70,46,53,21,14,16
female,group D,some high school,standard,completed,63,65,93,19,20,28
male,group C,master's degree,free/reduced,completed,32,70,73,10,21,22
female,group C,some college,free/reduced,none,53,78,61,16,23,18
female,group E,high school,standard,none,84,59,62,25,18,19
female,group D,associate's degree,standard,none,52,43,60,16,13,18
male,group C,some high school,free/reduced,completed,90,79,53,27,24,16
male,group C,associate's degree,free/reduced,completed,63,62,80,19,19,24
male,group E,high school,standard,none,65,71,55,20,21,16
male,group D,some high school,standard,completed,75,81,85,22,24,26
male,group B,some high school,free/reduced,none,89,97,60,27,29,18
female,group C,bachelor's degree,standard,none,46,64,100,14,19,30
female,group E,associate's degree,standard,none,100,64,96,30,19,29
male,group D,some college,standard,completed,98,73,27,29,22,8
female,group B,some high school,standard,none,55,65,91,16,20,27
male,group D,some college,standard,completed,85,71,86,26,21,26
female,group C,master's degree,standard,completed,47,51,48,14,15,14
male,group D,associate's degree,standard,none,55,77,82,16,23,25
male,group C,some high school,free/reduced,completed,71,97,60,21,29,18
male,group E,high school,free/reduced,none,100,75,57,30,22,17
female,group B,some college,free/reduced,none,53,85,75,16,26,22
female,group B,bachelor's degree,free/reduced,none,92,70,50,28,21,15
female,group C,associate's degree,standard,completed,81,61,93,24,18,28
female,group D,some college,free/reduced,none,89,89,48,27,27,14
male,group C,associate's degree,standard,none,56,80,82,17,24,25
female,group B,associate's degree,standard,none,56,71,38,17,21,11
male,group C,some college,standard,none,70,50,52,21,15,16
male,group D,some high school,standard,completed,53,100,59,16,30,18
male,group E,bachelor's degree,standard,none,62,91,98,19,27,29
male,group E,high school,standard,completed,82,69,54,25,21,16
female,group B,some college,free/reduced,none,74,100,65,22,30,20
female,group B,some college,free/reduced,none,57,42,58,17,13,17
male,group D,some high school,free/reduced,completed,84,72,81,25,22,24
male,group C,some college,free/reduced,none,54,52,64,16,16,19
female,group C,high school,free/reduced,none,74,49,40,22,15,12
male,group C,associate's degree,free/reduced,completed,69,73,54,21,22,16
male,group E,high school,standard,completed,74,85,60,22,26,18
male,group B,some high school,standard,completed,100,67,80,30,20,24
female,group E,associate's degree,free/reduced,completed,54,71,75,16,21,22
female,group C,high school,free/reduced,none,69,86,60,21,26,18
male,group B,high school,free/reduced,none,68,73,39,20,22,12
male,group B,some high school,standard,completed,67,73,83,20,22,25
female,group D,high school,standard,completed,61,80,55,18,24,16
male,group B,associate's degree,standard,none,70,50,85,21,15,26
female,group C,some high school,free/reduced,none,74,60,94,22,18,28
male,group D,some high school,standard,none,76,64,78,23,19,23
female,group B,associate's degree,standard,completed,77,55,100,23,16,30
female,group E,master's degree,free/reduced,none,76,77,36,23,23,11
female,group C,some college,standard,none,67,75,61,20,22,18
male,group D,high school,standard,none,81,87,74,24,26,22
male,group A,some high school,free/reduced,none,54,85,45,16,26,14
female,group C,some college,standard,completed,90,57,70,27,17,21
male,group D,some college,standard,none,78,63,82,23,19,25
male,group C,associate's degree,standard,none,52,40,66,16,12,20
female,group B,bachelor's degree,standard,none,96,74,71,29,22,21
male,group E,some high school,standard,none,73,60,64,22,18,19
male,group C,bachelor's degree,standard,completed,72,69,41,22,21,12
male,group D,associate's degree,standard,none,68,78,54,20,23,16
male,group D,bachelor's degree,free/reduced,none,64,86,81,19,26,24
female,group D,some high school,standard,completed,73,86,55,22,26,16
male,group B,some college,standard,none,21,77,53,6,23,16
male,group C,associate's degree,standard,none,78,61,70,23,18,21
male,group D,high school,free/reduced,completed,69,79,46,21,24,14
female,group E,bachelor's degree,standard,none,80,85,56,24,26,17
female,group D,high school,standard,none,53,86,77,16,26,23
male,group E,some college,standard,none,100,60,61,30,18,18
male,group D,some high school,standard,none,51,66,72,15,20,22
male,group C,associate's degree,standard,none,40,79,68,12,24,20
male,group E,associate's degree,standard,none,84,84,58,25,25,17
female,group B,high school,standard,completed,54,90,60,16,27,18
female,group B,high school,standard,none,64,66,71,19,20,21
male,group C,high school,standard,none,65,65,79,20,20,24
male,group A,some high school,standard,completed,58,50,87,17,15,26
female,group D,some college,free/reduced,none,60,82,61,18,25,18
female,group B,some high school,standard,completed,60,69,49,18,21,15
male,group D,master's degree,standard,none,80,73,82,24,22,25
male,group D,high school,standard,none,46,55,54,14,16,16
female,group E,some college,standard,none,70,81,61,21,24,18
female,group C,associate's degree,free/reduced,none,70,69,64,21,21,19
male,group C,associate's degree,standard,completed,40,67,67,12,20,20
female,group B,some college,standard,none,27,65,58,8,20,17
female,group C,master's degree,free/reduced,completed,69,84,91,21,25,27
female,group C,some high school,free/reduced,completed,67,75,59,20,22,18
male,group C,some college,standard,completed,79,78,56,24,23,17
female,group C,some high school,free/reduced,none,58,99,95,17,30,28
female,group E,high school,standard,none,74,57,52,22,17,16
male,group D,high school,standard,none,57,71,83,17,21,25
male,group D,some high school,free/reduced,none,59,74,53,18,22,16
female,group C,bachelor's degree,standard,none,52,33,75,16,10,22
female,group D,high school,standard,none,63,80,59,19,24,18
female,group D,associate's degree,standard,completed,63,87,67,19,26,20
female,group E,some college,free/reduced,none,47,54,78,14,16,23
male,group C,bachelor's degree,standard,none,60,59,77,18,18,23
male,group C,some college,standard,none,64,56,67,19,17,20
female,group D,associate's degree,free/reduced,none,45,80,61,14,24,18
female,group D,some college,standard,none,66,68,44,20,20,13
male,group B,some college,standard,completed,65,51,37,20,15,11
male,group C,bachelor's degree,standard,none,67,52,69,20,16,21
female,group C,some high school,standard,completed,58,72,73,17,22,22
female,group E,high school,standard,completed,63,100,89,19,30,27
female,group C,some high school,free/reduced,none,79,75,62,24,22,19
male,group B,bachelor's degree,free/reduced,none,69,85,48,21,26,14
male,group D,high school,standard,none,82,47,64,25,14,19
male,group D,high school,standard,none,57,83,68,17,25,20
female,group D,bachelor's degree,free/reduced,none,34,63,65,10,19,20
female,group D,some college,free/reduced,completed,56,73,55,17,22,16
female,group B,some high school,standard,none,78,71,52,23,21,16
male,group B,associate's degree,standard,completed,61,68,52,18,20,16
male,group E,associate's degree,standard,completed,83,80,69,25,24,21
female,group B,some high school,standard,none,89,75,78,27,22,23
male,group B,bachelor's degree,free/reduced,none,39,77,52,12,23,16
male,group E,some high school,standard,completed,70,73,75,21,22,22
male,group C,associate's degree,standard,none,50,62,95,15,19,28
male,group D,some high school,standard,none,82,54,67,25,16,20
male,group C,some high school,standard,completed,58,57,54,17,17,16
female,group E,bachelor's degree,standard,none,41,53,72,12,16,22
male,group D,high school,free/reduced,completed,76,61,42,23,18,13
male,group B,associate's degree,free/reduced,none,70,67,60,21,20,18
male,group A,some high school,standard,completed,64,87,41,19,26,12
male,group E,associate's degree,standard,completed,74,61,58,22,18,17
male,group C,high school,free/reduced,completed,50,76,75,15,23,22
male,group D,associate's degree,free/reduced,none,68,42,75,20,13,22
male,group A,some college,free/reduced,completed,58,68,92,17,20,28
male,group D,some high school,free/reduced,none,100,59,74,30,18,22
female,group C,associate's degree,standard,completed,66,78,59,20,23,18
male,group B,associate's degree,standard,none,89,83,56,27,25,17
female,group C,associate's degree,standard,completed,80,64,100,24,19,30
male,group A,some college,standard,none,54,80,79,16,24,24
male,group E,some college,standard,completed,50,60,50,15,18,15
male,group C,some high school,standard,none,56,81,66,17,24,20
female,group B,associate's degree,free/reduced,none,39,76,56,12,23,17
female,group D,high school,free/reduced,none,65,71,99,20,21,30
female,group B,associate's degree,standard,none,61,74,63,18,22,19
male,group B,bachelor's degree,standard,none,77,58,53,23,17,16
male,group D,bachelor's degree,standard,completed,79,59,80,24,18,24
female,group C,associate's degree,free/reduced,completed,54,77,62,16,23,19
female,group C,bachelor's degree,standard,completed,51,74,65,15,22,20
male,group C,high school,standard,none,66,50,62,20,15,19
female,group D,master's degree,standard,completed,73,88,53,22,26,16
male,group C,associate's degree,standard,none,35,95,62,10,28,19
male,group B,bachelor's degree,standard,none,39,74,64,12,22,19
female,group D,associate's degree,free/reduced,none,79,66,64,24,20,19
female,group C,high school,free/reduced,completed,74,95,72,22,28,22
